Ano;Mês;UF;IMPOSTO SOBRE IMPORTAÇÃO;IMPOSTO SOBRE EXPORTAÇÃO;IRPF;COFINS;RECEITA PREVIDENCIÁRIA;IRRF - RENDIMENTOS DO TRABALHO
2000;Outubro;PE;11528059.0;79.0;2851369.0;51433106.0;0.0;12999742.0
2000;Outubro;PI;642033.0;52.0;574375.0;7130594.0;0.0;1385615.0
2000;Outubro;RJ;59914701.0;441194.0;33544964.0;869041913.0;0.0;177205134.0
2000;Outubro;RN;598521.0;30.0;716190.0;11159538.0;0.0;3104334.0
2000;Outubro;RS;41621006.0;39218.0;10281472.0;198428728.0;0.0;54423889.0
2000;Outubro;RO;47339.0;10.0;513655.0;6099699.0;0.0;826343.0
2000;Outubro;RR;3771.0;0.0;216554.0;1284883.0;0.0;378222.0
2000;Outubro;SC;17323233.0;7103.0;3133749.0;92533337.0;0.0;18023343.0
2000;Outubro;SP;440694357.0;1282.0;78557413.0;1396655201.0;0.0;490619837.0
2000;Outubro;SE;942759.0;12.0;617168.0;7828226.0;0.0;2431008.0
2000;Outubro;TO;4468.0;10.0;206796.0;3237451.0;0.0;501494.0
2000;Novembro;AC;1147.0;0.0;169288.0;1787631.0;0.0;1140633.0
2000;Novembro;AL;432760.0;18196.0;634594.0;9867864.0;0.0;3331966.0
2000;Novembro;AP;127195.0;0.0;153866.0;1523610.0;0.0;324703.0
2000;Novembro;AM;20821416.0;352.0;929621.0;68577631.0;0.0;10882472.0
2000;Novembro;BA;21125777.0;5080.0;8391744.0;96804748.0;0.0;24042654.0
2000;Novembro;CE;8347809.0;12.0;1777055.0;43362005.0;0.0;15997044.0
2000;Novembro;DF;2622625.0;0.0;3265897.0;153269148.0;0.0;513496734.0
2000;Novembro;ES;80252013.0;10.0;1481087.0;48675608.0;0.0;9994214.0
2000;Novembro;GO;13239905.0;0.0;1331018.0;51944229.0;0.0;9642903.0
2000;Novembro;MA;7248789.0;0.0;538068.0;12858389.0;0.0;3767768.0
2000;Novembro;MT;559104.0;23.0;879430.0;17124698.0;0.0;3351682.0
2000;Novembro;MS;301721.0;1030.0;1325046.0;12409901.0;0.0;3357044.0
2000;Novembro;MG;40789804.0;259.0;10144657.0;233910806.0;0.0;63769552.0
2000;Novembro;PA;3586465.0;0.0;1058694.0;18138859.0;0.0;9653476.0
2000;Novembro;PB;1446309.0;25.0;846546.0;11328302.0;0.0;5862155.0
2000;Novembro;PR;84677541.0;106.0;7603857.0;150489546.0;0.0;46107990.0
2000;Novembro;PE;13877702.0;0.0;2481074.0;51281469.0;0.0;13742492.0
2000;Novembro;PI;313335.0;0.0;433014.0;7292676.0;0.0;2041001.0
2000;Novembro;RJ;62012059.0;372.0;36119391.0;928558594.0;0.0;263467143.0
2000;Novembro;RN;773206.0;0.0;899884.0;12279794.0;0.0;3810822.0
2000;Novembro;RS;33057170.0;12984.0;29484255.0;215448130.0;0.0;63534488.0
